total_purchase_count,average_order_value,days_since_first_purchase,days_since_last_purchase,product_category_diversity,loyalty_program_membership,estimated_lifetime_value
0.58,120.27,54.63,53.01,0.0578,Enrolled,542.33
19.13,123.96,399.76,48.3,0.229,Not Enrolled,1372.49
3.12,137.06,223.09,75.73,0.205,Not Enrolled,685.34
2.12,48.2,294.33,120.72,0.119,Enrolled,270.89
9.83,82.02,293.32,52.9,0.304,Not Enrolled,687.3
3.08,47.7,75.23,23.51,0.095,Not Enrolled,458.74
4.73,70.53,496.03,150.54,0.238,Not Enrolled,336.33
41.89,85.47,441.1,30.1,0.149,Enrolled,1765.96
4.08,42.97,1202.34,390.45,0.209,Enrolled,171.56
19.9,88.72,483.78,64.14,0.224,Not Enrolled,939.76
3.33,95.99,305.47,96.98,0.278,Not Enrolled,557.65
7.21,28.26,454.02,105.28,0.401,Enrolled,229.35
2.05,121.67,525.64,208.77,0.148,Enrolled,457.64
1.82,49.41,225.78,106.22,0.0981,Not Enrolled,246.6
39.0,145.52,953.89,128.39,0.254,Not Enrolled,1043.98
21.97,111.99,529.34,63.47,0.252,Not Enrolled,1358.01
10.38,56.66,325.14,65.23,0.326,Not Enrolled,393.56
1.03,55.63,210.07,133.4,0.0994,Not Enrolled,208.53
14.84,42.38,468.52,85.01,0.296,Not Enrolled,315.81
0.977,53.1,752.71,389.43,0.129,Enrolled,146.76
8.86,91.05,440.74,92.78,0.106,Not Enrolled,655.89
4.28,82.65,241.13,66.46,0.128,Not Enrolled,599.99
0.575,44.11,132.39,118.85,0.0448,Enrolled,171.49
1.93,69.58,338.59,143.97,0.306,Enrolled,312.57
10.15,195.71,409.31,67.99,0.363,Not Enrolled,1653.95
5.23,46.85,260.34,62.82,0.265,Enrolled,425.52
1.98,44.27,388.1,164.93,0.135,Enrolled,215.97
9.09,194.11,446.95,90.49,0.365,Not Enrolled,1120.9
0.384,207.08,59.65,71.52,0.0117,Enrolled,704.18
11.19,108.04,660.91,136.16,0.456,Not Enrolled,625.62
3.23,156.09,288.33,95.03,0.378,Not Enrolled,714.06
1.5,25.15,164.17,84.82,0.082,Enrolled,156.36
17.37,59.05,479.21,69.3,0.375,Not Enrolled,616.87
11.59,57.42,700.48,136.53,0.228,Enrolled,488.14
7.55,45.78,413.57,92.14,0.155,Enrolled,384.09
0.59,129.1,98.14,84.48,0.587,Not Enrolled,431.85
11.41,32.66,217.78,31.77,0.305,Not Enrolled,407.51
2.51,30.76,56.96,17.49,0.214,Enrolled,388.74
38.65,129.48,507.55,42.58,0.741,Not Enrolled,1659.54
1.64,91.36,205.51,100.11,0.332,Not Enrolled,378.2
9.03,97.0,377.83,71.67,0.515,Not Enrolled,767.6
0.675,60.17,135.72,112.59,0.173,Not Enrolled,212.02
3.96,35.51,306.37,87.01,0.253,Enrolled,299.18
4.23,47.02,566.46,188.88,0.174,Not Enrolled,204.46
50.42,48.34,762.87,81.7,0.38,Not Enrolled,545.89
5.29,81.24,729.57,204.35,0.386,Enrolled,400.32
2.87,37.7,376.6,140.39,0.251,Not Enrolled,195.43
12.63,58.12,296.25,39.23,0.426,Enrolled,797.72
135.04,122.17,333.49,7.37,0.332,Not Enrolled,3179.72
50.47,101.07,1047.12,107.49,0.357,Enrolled,1512.52
4.15,30.8,111.9,26.14,0.254,Enrolled,381.75
4.47,58.38,128.35,29.46,0.0589,Enrolled,673.35
19.01,43.52,869.71,151.0,0.245,Not Enrolled,377.19
0.254,25.95,395.28,363.58,0.327,Enrolled,65.4
107.63,113.87,1109.64,82.61,0.581,Not Enrolled,1913.94
9.84,164.67,546.48,113.52,0.167,Not Enrolled,950.13
2.84,124.17,269.21,95.57,0.226,Not Enrolled,596.56
11.09,264.34,168.24,20.91,0.17,Not Enrolled,2516.17
1.51,61.72,351.96,173.21,0.0972,Enrolled,239.17
0.917,114.13,119.85,74.04,0.0746,Enrolled,603.32
11.19,57.77,204.77,32.35,0.229,Not Enrolled,564.17
4.5,116.98,694.99,198.15,0.32,Enrolled,581.15
12.09,48.75,382.76,61.57,0.649,Not Enrolled,500.43
0.48,41.01,83.4,91.97,0.0605,Enrolled,164.25
48.38,140.59,1442.76,197.68,0.64,Not Enrolled,1042.09
31.0,71.64,1009.97,137.69,0.0409,Enrolled,876.69
8.78,99.71,296.99,56.91,0.283,Not Enrolled,776.09
4.85,18.37,246.09,67.14,0.388,Enrolled,140.51
87.74,409.36,949.22,67.74,0.546,Not Enrolled,5086.46
0.285,24.12,328.07,318.75,0.17,Enrolled,62.04
9.12,97.11,233.1,36.66,0.411,Not Enrolled,1029.34
5.43,58.43,74.77,14.0,0.511,Not Enrolled,654.96
2.83,183.97,567.08,200.72,0.152,Not Enrolled,640.84
0.425,79.4,132.88,124.1,0.26,Enrolled,285.1
184.27,132.09,373.0,6.12,0.358,Not Enrolled,4336.77
28.22,86.18,702.2,89.94,0.435,Not Enrolled,866.71
706.36,154.46,588.63,4.73,0.693,Not Enrolled,6520.31
10.48,76.05,243.41,34.35,0.319,Enrolled,971.78
22.79,152.03,169.08,10.82,0.42,Not Enrolled,2369.79
12.16,144.49,275.23,37.33,0.206,Not Enrolled,1557.56
9.93,128.84,670.07,133.44,0.168,Enrolled,959.45
17.46,85.96,214.1,22.09,0.698,Not Enrolled,997.54
5.42,102.54,373.99,92.35,0.141,Enrolled,732.59
5.49,45.7,73.95,13.24,0.387,Not Enrolled,588.61
2.69,141.52,449.62,158.87,0.601,Not Enrolled,552.67
3.89,221.64,169.0,44.7,0.405,Not Enrolled,1350.96
17.19,185.45,454.72,54.84,0.217,Enrolled,2228.06
3.8,206.93,126.76,33.24,0.246,Not Enrolled,1395.21
10.06,126.98,330.74,61.55,0.118,Not Enrolled,928.68
2.46,41.98,87.79,32.37,0.281,Enrolled,352.47
46.12,134.66,411.8,23.42,0.262,Enrolled,2850.32
0.836,47.49,456.32,285.65,0.21,Not Enrolled,120.48
0.888,33.26,398.64,251.9,0.0154,Enrolled,106.65
0.789,114.23,101.22,73.68,0.643,Not Enrolled,441.13
1.47,69.69,119.9,57.01,0.0671,Enrolled,500.43
14.06,80.46,279.24,34.68,0.477,Not Enrolled,1001.33
30.67,42.65,801.93,104.26,0.335,Not Enrolled,507.29
0.47,59.11,43.72,53.92,0.0541,Enrolled,275.39
4.46,184.16,485.98,132.4,0.458,Not Enrolled,927.3
5.73,79.33,406.48,99.69,0.316,Enrolled,563.12
9.83,70.5,165.51,23.04,0.291,Not Enrolled,876.22
1.92,21.63,148.18,70.37,0.0767,Enrolled,137.45
8.23,58.12,272.52,55.33,0.225,Not Enrolled,486.21
15.4,49.39,156.08,16.42,0.247,Not Enrolled,683.84
37.32,66.21,971.11,129.76,0.209,Not Enrolled,654.12
0.116,58.12,68.3,151.94,0.0526,Enrolled,146.88
6.33,78.92,202.57,43.53,0.16,Not Enrolled,680.55
23.2,354.57,385.36,39.12,0.604,Not Enrolled,3040.07
11.89,64.5,318.41,50.52,0.184,Not Enrolled,675.25
361.6,188.47,620.5,9.41,0.67,Not Enrolled,6722.3
12.05,67.09,422.27,68.11,0.277,Enrolled,721.66
4.33,46.6,83.83,21.91,0.214,Not Enrolled,423.12
1.54,47.26,176.81,101.45,0.118,Not Enrolled,186.43
4.78,38.25,310.04,90.52,0.171,Not Enrolled,252.97
18.03,74.88,466.5,65.88,0.155,Not Enrolled,785.29
0.566,25.56,136.81,126.23,0.0826,Enrolled,101.89
37.81,145.33,959.12,117.81,0.488,Not Enrolled,1359.26
3.52,221.74,209.71,56.63,0.358,Enrolled,1442.44
3.13,79.04,298.09,113.1,0.204,Not Enrolled,321.8
0.321,57.92,526.29,402.16,0.0075,Enrolled,139.67
5.73,40.88,360.46,90.37,0.0972,Enrolled,339.8
0.248,254.93,274.72,278.31,0.121,Enrolled,345.02
0.732,93.56,77.85,70.96,0.213,Not Enrolled,312.53
77.41,167.91,458.0,21.21,0.364,Not Enrolled,3136.46
10.25,60.61,429.19,86.7,0.154,Not Enrolled,459.5
9.81,178.52,195.09,29.04,0.36,Not Enrolled,1557.13
10.15,86.58,520.35,96.97,0.289,Enrolled,765.29
2.42,55.25,180.59,74.62,0.299,Not Enrolled,292.22
1.44,41.25,274.92,136.22,0.0719,Enrolled,213.32
4.22,87.09,231.08,66.33,0.278,Not Enrolled,548.27
21.52,58.4,1154.0,199.67,0.299,Enrolled,490.47
1.32,336.59,241.81,117.28,0.175,Enrolled,1094.85
10.26,67.42,410.75,72.42,0.177,Enrolled,693.52
1.62,109.3,156.89,76.35,0.145,Not Enrolled,516.52
2.9,115.83,205.84,70.01,0.329,Not Enrolled,645.67
0.395,46.81,211.45,196.33,0.0351,Enrolled,146.82
2.21,22.42,142.42,55.53,0.396,Enrolled,177.85
1.02,50.96,745.56,366.69,0.344,Enrolled,161.11
23.56,29.5,425.24,51.4,0.218,Not Enrolled,377.22
10.21,94.27,269.52,40.66,0.461,Not Enrolled,1022.02
1.93,85.47,106.67,41.77,0.196,Enrolled,670.51
17.85,192.86,198.46,14.09,0.325,Enrolled,3477.94
1.27,147.62,135.83,67.87,0.488,Enrolled,741.8
21.93,64.77,814.59,118.19,0.208,Enrolled,749.9
2.98,71.06,412.33,150.36,0.179,Not Enrolled,319.17
0.588,58.47,367.63,262.01,0.0441,Enrolled,157.91
0.192,75.74,114.16,180.78,0.142,Not Enrolled,148.0
3.92,39.34,342.08,104.33,0.203,Enrolled,273.45
1.88,116.77,354.77,150.77,0.315,Not Enrolled,448.13
0.838,50.33,8.36,7.27,0.1,Enrolled,467.73
1.57,35.76,445.17,226.0,0.184,Not Enrolled,118.71
19.68,59.2,625.5,89.38,0.212,Enrolled,683.59
9.62,89.26,841.03,187.06,0.421,Not Enrolled,529.84
21.25,410.74,718.07,97.59,0.577,Not Enrolled,2849.23
3.63,46.67,621.29,196.6,0.32,Enrolled,263.04
1.14,114.97,208.7,116.5,0.447,Not Enrolled,415.71
10.75,59.45,625.52,126.15,0.153,Enrolled,479.95
9.42,69.89,322.17,54.51,0.364,Enrolled,752.01
3.03,85.31,74.06,20.67,0.0775,Enrolled,895.5
30.51,101.52,421.21,38.2,0.513,Not Enrolled,1346.58
10.35,140.34,246.22,36.47,0.392,Not Enrolled,1361.92
0.138,38.13,65.98,141.41,0.0875,Enrolled,108.02
2.28,74.99,518.59,192.29,0.483,Enrolled,349.12
1.83,20.7,352.82,164.29,0.27,Enrolled,95.92
8.9,61.55,209.96,35.79,0.17,Not Enrolled,657.05
0.955,21.41,762.54,427.32,0.19,Enrolled,58.64
23.74,170.09,866.4,127.68,0.499,Not Enrolled,1281.68
4.06,87.24,209.99,53.03,0.364,Enrolled,761.36
5.45,76.29,115.27,25.22,0.284,Not Enrolled,673.95
106.18,152.48,394.3,10.55,0.399,Not Enrolled,4397.62
3.85,56.03,168.61,49.19,0.0747,Not Enrolled,457.39
13.85,126.19,130.02,11.54,0.47,Not Enrolled,1762.87
8.2,128.23,324.17,62.64,0.367,Not Enrolled,975.87
32.22,87.34,455.72,44.46,0.27,Not Enrolled,1099.27
1.94,44.96,147.5,67.68,0.272,Not Enrolled,259.85
8.04,56.0,554.31,139.89,0.37,Not Enrolled,288.35
17.6,54.84,646.38,99.68,0.557,Not Enrolled,550.88
5.86,143.67,250.4,52.49,0.254,Enrolled,1196.57
10.55,56.18,691.54,146.61,0.333,Not Enrolled,393.74
53.98,39.73,843.34,77.66,0.238,Enrolled,739.96
9.26,79.84,337.64,59.28,0.386,Not Enrolled,781.79
13.61,165.83,887.97,182.41,0.596,Not Enrolled,737.25
2.13,110.15,289.27,124.94,0.129,Not Enrolled,420.74
19.43,171.61,346.97,39.39,0.212,Not Enrolled,1790.09
36.22,94.03,669.51,76.86,0.132,Not Enrolled,998.46
6.14,88.81,222.91,48.68,0.373,Not Enrolled,706.17
15.1,272.55,514.3,73.78,0.624,Not Enrolled,2111.23
12.69,372.97,229.66,27.03,0.314,Not Enrolled,3391.72
1.39,219.75,234.61,109.48,0.169,Enrolled,893.37
8.27,78.39,218.82,36.01,0.438,Not Enrolled,863.74
12.89,278.01,499.53,84.45,0.333,Not Enrolled,1710.77
1.39,80.26,304.45,161.64,0.07,Not Enrolled,271.21
0.899,27.42,78.72,58.53,0.211,Enrolled,162.2
1.15,71.03,136.78,91.62,0.125,Not Enrolled,254.21
7.62,74.1,331.05,64.9,0.44,Enrolled,679.26
11.33,147.29,331.59,53.15,0.707,Not Enrolled,1122.63
4.43,101.89,157.94,36.91,0.277,Enrolled,926.96
0.162,32.17,149.62,225.72,0.144,Enrolled,80.56
65.29,154.58,771.17,70.12,0.444,Not Enrolled,1494.7
0.811,103.81,272.36,165.55,0.349,Enrolled,354.67
3.52,109.14,161.31,51.26,0.477,Not Enrolled,600.34
2.4,76.03,878.08,342.53,0.0225,Enrolled,247.02
1.21,53.35,104.95,63.47,0.261,Not Enrolled,281.67
3.89,55.08,90.12,23.85,0.145,Not Enrolled,536.56
1.18,25.58,116.16,79.01,0.148,Not Enrolled,121.17
1.1,187.41,159.82,92.54,0.398,Not Enrolled,643.68
71.94,57.07,764.22,56.12,0.356,Not Enrolled,1119.97
23.2,116.33,383.98,33.96,0.603,Enrolled,1890.26
1.58,96.37,570.47,257.15,0.151,Enrolled,301.09
2.03,115.05,122.06,47.55,0.549,Not Enrolled,709.51
11.95,65.32,707.49,131.9,0.303,Enrolled,589.0
53.36,58.69,539.12,37.99,0.449,Not Enrolled,1107.16
1.44,43.14,356.85,179.42,0.457,Not Enrolled,164.09
5.01,39.2,613.61,183.77,0.394,Not Enrolled,200.89
2.44,32.83,235.14,93.38,0.117,Enrolled,206.89
1.29,152.35,382.5,185.8,0.203,Enrolled,495.38
43.77,123.51,1008.12,121.66,0.737,Not Enrolled,1087.85
3.0,32.94,124.89,43.6,0.12,Not Enrolled,262.96
0.213,40.57,126.21,181.87,0.16,Enrolled,104.73
16.35,169.22,276.37,32.72,0.255,Not Enrolled,1677.99
12.34,119.72,281.05,35.34,0.351,Enrolled,1535.67
0.778,56.5,166.34,115.7,0.304,Enrolled,237.87
1.05,52.14,300.66,174.75,0.278,Enrolled,186.58
7.68,226.33,428.13,92.61,0.465,Not Enrolled,1192.8
5.1,52.67,178.91,40.73,0.239,Enrolled,532.36
0.334,41.9,312.75,274.65,0.355,Enrolled,110.34
9.68,274.7,145.79,18.22,0.558,Not Enrolled,2532.07
0.595,28.54,46.47,50.7,0.183,Enrolled,149.32
3.74,116.07,206.33,53.35,0.452,Enrolled,942.42
0.461,72.99,215.48,194.82,0.0248,Enrolled,185.86
7.05,35.56,297.25,63.39,0.438,Not Enrolled,330.81
0.716,93.93,72.52,60.36,0.174,Enrolled,421.11
33.19,125.45,639.42,72.14,0.397,Not Enrolled,1255.08
1.25,202.78,327.14,169.3,0.339,Not Enrolled,536.9
14.96,165.98,504.46,72.34,0.435,Not Enrolled,1568.09
7.26,67.7,656.79,151.61,0.205,Enrolled,511.88
0.627,373.2,91.16,73.01,0.229,Enrolled,1139.12
3.6,101.11,742.48,256.28,0.268,Not Enrolled,322.56
3.03,53.51,357.61,121.04,0.131,Enrolled,337.09
1.86,66.29,178.34,84.35,0.137,Not Enrolled,323.11
30.01,30.84,1124.47,178.93,0.478,Not Enrolled,265.48
0.645,34.16,43.22,45.96,0.118,Enrolled,180.12
13.37,72.96,425.18,68.47,0.614,Not Enrolled,645.1
13.48,155.0,648.69,118.75,0.407,Not Enrolled,957.98
2.28,127.05,471.91,182.01,0.145,Enrolled,494.7
0.938,39.07,197.78,129.25,0.0347,Enrolled,175.68
1.06,26.12,217.93,133.62,0.272,Enrolled,117.41
8.58,79.44,102.91,11.87,0.288,Enrolled,1289.95
0.408,116.31,401.68,311.88,0.147,Enrolled,215.88
21.87,81.99,617.59,90.84,0.421,Not Enrolled,681.48
24.52,65.73,804.03,106.52,0.239,Enrolled,869.31
24.37,66.34,673.56,97.83,0.298,Not Enrolled,587.79
12.92,158.4,368.08,54.05,0.55,Not Enrolled,1376.91
3.39,92.65,717.38,233.93,0.259,Enrolled,405.27
27.89,98.11,738.31,92.6,0.369,Not Enrolled,1079.01
1.28,44.01,318.35,171.53,0.396,Not Enrolled,163.38
6.71,154.16,332.19,71.84,0.316,Not Enrolled,1044.09
135.1,37.9,965.98,66.15,0.747,Not Enrolled,626.89
11.68,95.85,911.84,199.16,0.383,Not Enrolled,501.94
16.39,164.73,289.62,31.26,0.186,Not Enrolled,2080.19
1.53,71.09,81.22,42.26,0.0282,Enrolled,472.51
0.839,17.87,133.08,106.68,0.186,Enrolled,74.2
7.16,48.35,273.5,59.49,0.431,Not Enrolled,394.52
1.68,145.39,136.54,61.95,0.224,Not Enrolled,741.56
3.06,51.31,80.26,27.82,0.347,Not Enrolled,373.18
12.83,147.74,810.94,155.7,0.133,Not Enrolled,989.18
2.12,260.37,374.17,145.03,0.362,Not Enrolled,885.9
0.613,33.46,113.25,99.95,0.187,Enrolled,146.94
5.17,85.7,284.56,74.64,0.197,Not Enrolled,562.33
137.9,79.71,886.92,47.79,0.237,Not Enrolled,1940.8
0.84,89.88,252.22,158.67,0.0916,Enrolled,318.2
1.06,51.2,206.63,126.8,0.144,Enrolled,209.37
13.62,97.41,432.94,66.02,0.518,Not Enrolled,921.23
61.88,141.93,300.68,11.42,0.539,Not Enrolled,2929.18
31.28,59.56,303.37,22.52,0.212,Not Enrolled,1079.9
8.35,69.27,225.62,44.91,0.335,Not Enrolled,536.09
12.33,124.49,200.72,25.48,0.314,Not Enrolled,1335.73
29.93,77.1,342.42,28.35,0.568,Not Enrolled,1130.52
1.03,47.84,53.18,34.8,0.159,Enrolled,354.9
12.54,78.92,204.57,26.86,0.348,Not Enrolled,885.83
4.36,105.15,297.61,82.28,0.353,Not Enrolled,646.98
29.6,42.96,284.08,23.53,0.089,Not Enrolled,713.94
16.24,68.4,392.65,54.41,0.259,Not Enrolled,755.8
7.19,88.4,563.49,141.75,0.216,Not Enrolled,468.38
5.32,179.31,764.4,208.85,0.56,Not Enrolled,719.49
3.83,55.45,393.29,123.82,0.349,Not Enrolled,314.71
2.54,54.97,379.62,129.74,0.193,Enrolled,385.15
30.93,85.77,361.68,33.98,0.417,Not Enrolled,987.65
3.93,22.16,178.54,58.85,0.074,Not Enrolled,155.42
1.47,53.6,112.45,63.45,0.188,Not Enrolled,272.49
5.56,159.53,227.32,55.19,0.479,Not Enrolled,903.07
12.94,72.02,334.31,44.66,0.636,Enrolled,910.05
1.57,88.31,118.89,57.13,0.362,Not Enrolled,496.5
